agecategory,sex,strata,cs,nscv,cscv,totalFSFV,totalFSCV,totalNSFV
80,male,maori,0.05538952,0.001086596,0.01461048,0.083,0,0.087
85,male,maori,0.037222269,0.000774619,0.012777731,0.083,0,0.087
90,male,maori,0.01895649,0.000547018,0.01104351,0.083,0,0.087
95,male,maori,0.010563326,0.000382652,0.009436674,0.083,0,0.087
100,male,maori,0.005160885,0.000160885,0.004839115,0.083,0,0.087
105,male,maori,0.005132844,0.000132844,0.004867156,0.083,0,0.087
0,female,non-maori,0,0,0,0,0,0
5,female,non-maori,0,0,0,0,0,0
10,female,non-maori,0,0,0,0,0,0
15,female,non-maori,0,0,0,0,0,0
20,female,non-maori,0.135837066,0.031409357,0.014162934,0.163,0,0.087
25,female,non-maori,0.14094987,0.025159143,0.01905013,0.163,0,0.087
30,female,non-maori,0.137997048,0.01950433,0.022002952,0.163,0,0.087
35,female,non-maori,0.136923399,0.014630224,0.023076601,0.163,0,0.087
40,female,non-maori,0.127482515,0.010614615,0.022517485,0.163,0,0.087
45,female,non-maori,0.119298262,0.007446001,0.020701738,0.083,0,0.087
50,female,non-maori,0.111936088,0.005048303,0.018063912,0.083,0,0.087
55,female,non-maori,0.094970957,0.003306996,0.015029043,0.083,0,0.087
60,female,non-maori,0.078040715,0.002092604,0.011959285,0.083,0,0.087
65,female,non-maori,0.06087805,0.00127893,0.00912195,0.083,0,0.087
70,female,non-maori,0.053319718,0.000754906,0.006680282,0.083,0,0.087
75,female,non-maori,0.03529688,0.000430366,0.00470312,0.083,0,0.087
80,female,non-maori,0.026813524,0.000236981,0.003186476,0.083,0,0.087
85,female,non-maori,0.017920622,0.000126057,0.002079378,0.083,0,0.087
90,female,non-maori,0.00869217,6.48E-05,0.00130783,0.083,0,0.087
95,female,non-maori,0.009206758,3.22E-05,0.000793242,0.083,0,0.087
100,female,non-maori,0,0,0,0.083,0,0.087
105,female,non-maori,0,0,0,0.083,0,0.087
0,female,maori,0,0,0,0,0,0
5,female,maori,0,0,0,0,0,0
10,female,maori,0,0,0,0,0,0
15,female,maori,0,0,0,0,0,0
20,female,maori,0.419909087,0.022378775,0.010090913,0.163,0,0.087
25,female,maori,0.426212615,0.018208736,0.013787385,0.163,0,0.087
30,female,maori,0.433812291,0.014349457,0.016187709,0.163,0,0.087
35,female,maori,0.42272716,0.010950725,0.01727284,0.163,0,0.087
40,female,maori,0.40283571,0.008091149,0.01716429,0.163,0,0.087
45,female,maori,0.37391167,0.00578665,0.01608833,0.083,0,0.087
50,female,maori,0.345669981,0.004004796,0.014330019,0.083,0,0.087
55,female,maori,0.297813919,0.002681429,0.012186081,0.083,0,0.087
60,female,maori,0.250075219,0.001736612,0.009924781,0.083,0,0.087
65,female,maori,0.202241549,0.001087763,0.007758451,0.083,0,0.087
70,female,maori,0.154169123,0.000658919,0.005830877,0.083,0,0.087
75,female,maori,0.105781664,0.000386005,0.004218336,0.083,0,0.087
80,female,maori,0.077059462,0.000218691,0.002940538,0.083,0,0.087
85,female,maori,0.048023317,0.000119832,0.001976683,0.083,0,0.087
90,female,maori,0.028717807,6.35E-05,0.001282193,0.083,0,0.087
95,female,maori,0.019197021,3.26E-05,0.000802979,0.083,0,0.087
100,female,maori,0.009514293,1.61E-05,0.000485707,0.083,0,0.087
105,female,maori,0.009511479,1.33E-05,0.000488521,0.083,0,0.087
