         1413558122 function calls (1398078938 primitive calls) in 1161.906 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
		1    0.000    0.000    0.009    0.009 c:\dev\repos\tobaccopmslt\src\mslt\utilities.py:99(AddStrata)
		1    0.000    0.000    0.006    0.006 c:\dev\repos\tobaccopmslt\src\mslt\utilities.py:62(SetStandardIndex)
	 2560    0.002    0.000    0.004    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\circuit.py:22(GetStateCol)
		1    0.000    0.000    0.004    0.004 c:\dev\repos\tobaccopmslt\src\mslt\components\disease.py:125(on_initialize_simulants)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:359(setup)
		2    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:17(MakePath)
	  492    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\disease.py:38(name)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:89(setup)
		2    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:35(output_file)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:9(<module>)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:9(<module>)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:9(<module>)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\disease.py:9(<module>)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\circuit.py:9(<module>)
	   17    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\disease.py:208(__init__)
	  186    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\circuit.py:39(name)
	   78    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:50(name)
	   49    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:207(name)
	   51    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:114(name)
	   17    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:101(name)
		2    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\utilities.py:148(<listcomp>)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\circuit.py:28(Circuit)
		8    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:355(name)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\disease.py:189(Disease)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:22(BasePopulation)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\disease.py:14(AcuteDisease)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:69(MorbidityMortality)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:349(__init__)
	   10    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:85(name)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:108(Mortality)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:17(MortalityShift)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\utilities.py:89(<listcomp>)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:164(MortalityEffects)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:30(YLDShift)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:186(AcuteDisease)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:395(TobaccoPrevalence)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:43(IncidenceShift)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:200(Disability)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:66(AcuteIncidenceShift)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:335(Circuit)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\utilities.py:100(<listcomp>)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:96(GenericWand)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:170(ModifyAcuteDiseaseMortality)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:249(Disease)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\population.py:244(Expenditure)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:148(ModifyAcuteDiseaseYLD)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\observer.py:82(__init__)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\utilities.py:113(<listcomp>)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\disease.py:35(__init__)
		1    0.000    0.000    0.000    0.000 c:\dev\repos\tobaccopmslt\src\mslt\components\magic_wand_components.py:98(__init__)
